일시,광진구,동대문구,성동구,중랑구,일,월,년,요일,주,주말평일
2018-02-03,0.448,0.312,0.44,0.152,3,2,2018,5,5,주말
2018-02-04,0.322,0.244,0.328,0.126,4,2,2018,6,5,주말
2018-02-05,0.522,0.362,0.622,0.144,5,2,2018,0,6,평일
2018-02-06,0.472,0.342,0.592,0.114,6,2,2018,1,6,평일
2018-02-07,0.614,0.43,0.676,0.158,7,2,2018,2,6,평일
2018-02-08,0.706,0.476,0.758,0.174,8,2,2018,3,6,평일
2018-02-09,0.838,0.48,0.946,0.23,9,2,2018,4,6,평일
2018-02-10,0.614,0.4,0.606,0.236,10,2,2018,5,6,주말
2018-02-11,0.45,0.28,0.356,0.144,11,2,2018,6,6,주말
2018-02-12,0.652,0.46,0.716,0.178,12,2,2018,0,7,평일
2018-02-13,0.788,0.52,0.892,0.288,13,2,2018,1,7,평일
2018-02-14,0.9,0.55,0.994,0.272,14,2,2018,2,7,평일
2018-02-15,0.436,0.332,0.488,0.218,15,2,2018,3,7,주말
2018-02-16,0.318,0.244,0.398,0.192,16,2,2018,4,7,주말
2018-02-17,0.388,0.298,0.442,0.236,17,2,2018,5,7,주말
2018-02-18,0.65,0.368,0.568,0.262,18,2,2018,6,7,주말
2018-02-19,0.954,0.628,1.22,0.32,19,2,2018,0,8,평일
2018-02-20,0.958,0.74,1.238,0.302,20,2,2018,1,8,평일
2018-02-21,0.946,0.664,1.086,0.338,21,2,2018,2,8,평일
2018-02-22,1.008,0.614,1.134,0.318,22,2,2018,3,8,평일
2018-02-23,0.744,0.466,0.896,0.246,23,2,2018,4,8,평일
2018-02-24,0.866,0.624,0.808,0.288,24,2,2018,5,8,주말
2018-02-25,0.926,0.588,0.932,0.314,25,2,2018,6,8,주말
2018-02-26,1.274,0.828,1.448,0.394,26,2,2018,0,9,평일
2018-02-27,1.152,0.756,1.3,0.396,27,2,2018,1,9,평일
2018-02-28,0.522,0.354,0.554,0.15,28,2,2018,2,9,평일
2018-03-01,0.6,0.474,0.66,0.226,1,3,2018,3,9,주말
2018-03-02,1.028,0.75,1.196,0.346,2,3,2018,4,9,평일
2018-03-03,2.12,1.04,1.894,0.598,3,3,2018,5,9,주말
2018-03-04,0.616,0.446,0.628,0.26,4,3,2018,6,9,주말
2018-03-05,1.18,0.746,1.378,0.326,5,3,2018,0,10,평일
2018-03-06,1.606,1.032,1.87,0.588,6,3,2018,1,10,평일
2018-03-07,1.55,0.938,1.612,0.53,7,3,2018,2,10,평일
2018-03-08,0.952,0.688,1.232,0.334,8,3,2018,3,10,평일
2018-03-09,1.612,0.998,1.732,0.606,9,3,2018,4,10,평일
2018-03-10,1.73,1.004,1.602,0.606,10,3,2018,5,10,주말
2018-03-11,2.144,1.018,1.886,0.712,11,3,2018,6,10,주말
2018-03-12,2.136,1.244,2.148,0.688,12,3,2018,0,11,평일
2018-03-13,2.608,1.462,2.47,0.798,13,3,2018,1,11,평일
2018-03-14,3.622,1.838,3.294,1.0,14,3,2018,2,11,평일
2018-03-15,1.08,0.6,1.026,0.336,15,3,2018,3,11,평일
2018-03-16,2.276,1.414,2.338,0.756,16,3,2018,4,11,평일
2018-03-17,2.616,1.326,2.604,0.806,17,3,2018,5,11,주말
2018-03-18,1.716,0.922,1.562,0.564,18,3,2018,6,11,주말
2018-03-19,1.254,0.848,1.33,0.39,19,3,2018,0,12,평일
2018-03-20,1.598,1.094,1.768,0.538,20,3,2018,1,12,평일
2018-03-21,1.226,0.724,1.168,0.428,21,3,2018,2,12,평일
2018-03-22,2.08,1.274,2.126,0.666,22,3,2018,3,12,평일
2018-03-23,2.372,1.368,2.444,0.854,23,3,2018,4,12,평일
2018-03-24,1.94,1.168,1.9,0.718,24,3,2018,5,12,주말
2018-03-25,2.158,1.036,1.674,0.72,25,3,2018,6,12,주말
2018-03-26,2.146,1.242,2.154,0.674,26,3,2018,0,13,평일
2018-03-27,2.352,1.53,2.3,0.802,27,3,2018,1,13,평일
2018-03-28,2.986,1.718,2.962,1.012,28,3,2018,2,13,평일
2018-03-29,2.972,1.79,2.788,1.062,29,3,2018,3,13,평일
2018-03-30,3.376,1.886,3.14,1.168,30,3,2018,4,13,평일
2018-03-31,3.476,1.852,3.276,1.144,31,3,2018,5,13,주말
2018-04-01,3.078,1.66,3.134,1.156,1,4,2018,6,13,주말
2018-04-02,3.824,2.186,3.558,1.448,2,4,2018,0,14,평일
2018-04-03,3.728,2.08,3.446,1.41,3,4,2018,1,14,평일
2018-04-04,3.488,1.952,3.502,1.122,4,4,2018,2,14,평일
2018-04-05,0.412,0.244,0.414,0.13,5,4,2018,3,14,평일
2018-04-06,1.76,1.032,1.85,0.638,6,4,2018,4,14,평일
2018-04-07,1.474,1.036,1.588,0.772,7,4,2018,5,14,주말
2018-04-08,0.872,0.616,0.926,0.368,8,4,2018,6,14,주말
2018-04-09,3.014,1.798,2.964,1.162,9,4,2018,0,15,평일
2018-04-10,2.62,1.564,2.508,0.928,10,4,2018,1,15,평일
2018-04-11,3.192,1.968,3.12,1.204,11,4,2018,2,15,평일
2018-04-12,3.68,2.152,3.86,1.246,12,4,2018,3,15,평일
2018-04-13,3.866,2.092,3.78,1.35,13,4,2018,4,15,평일
2018-04-14,0.976,0.674,0.862,0.462,14,4,2018,5,15,주말
2018-04-15,1.554,0.912,1.488,0.73,15,4,2018,6,15,주말
2018-04-16,3.718,2.156,3.822,1.32,16,4,2018,0,16,평일
2018-04-17,3.702,2.264,3.546,1.402,17,4,2018,1,16,평일
2018-04-18,3.134,1.98,3.042,1.138,18,4,2018,2,16,평일
2018-04-19,2.734,1.472,2.564,0.974,19,4,2018,3,16,평일
2018-04-20,3.874,2.008,3.524,1.346,20,4,2018,4,16,평일
2018-04-21,4.66,2.214,4.204,1.584,21,4,2018,5,16,주말
2018-04-22,1.216,0.606,1.056,0.54,22,4,2018,6,16,주말
2018-04-23,0.144,0.086,0.114,0.036,23,4,2018,0,17,평일
2018-04-24,2.784,1.864,2.922,1.084,24,4,2018,1,17,평일
2018-04-25,4.304,2.368,3.93,1.716,25,4,2018,2,17,평일
2018-04-26,4.542,2.426,4.164,1.512,26,4,2018,3,17,평일
2018-04-27,4.354,2.38,4.014,1.598,27,4,2018,4,17,평일
2018-04-28,4.73,2.112,3.97,1.712,28,4,2018,5,17,주말
2018-04-29,4.602,2.164,4.502,1.844,29,4,2018,6,17,주말
2018-04-30,4.91,2.328,4.07,1.59,30,4,2018,0,18,평일
2018-05-01,5.12,2.476,4.322,1.914,1,5,2018,1,18,평일
2018-05-02,1.332,0.664,1.042,0.4,2,5,2018,2,18,평일
2018-05-03,3.034,1.936,3.074,1.34,3,5,2018,3,18,평일
2018-05-04,4.418,2.422,4.01,1.662,4,5,2018,4,18,평일
2018-05-05,5.342,2.266,4.46,1.632,5,5,2018,5,18,주말
2018-05-06,2.656,1.12,2.328,1.036,6,5,2018,6,18,주말
2018-05-07,5.57,2.394,5.198,2.082,7,5,2018,0,19,평일
2018-05-08,4.272,2.486,4.058,1.608,8,5,2018,1,19,평일
2018-05-09,5.064,2.732,4.694,1.972,9,5,2018,2,19,평일
2018-05-10,5.038,2.756,4.32,1.908,10,5,2018,3,19,평일
2018-05-11,4.404,2.634,4.048,1.87,11,5,2018,4,19,평일
2018-05-12,0.44,0.314,0.402,0.236,12,5,2018,5,19,주말
2018-05-13,4.602,2.186,4.358,1.838,13,5,2018,6,19,주말
2018-05-14,4.924,2.754,4.502,1.786,14,5,2018,0,20,평일
2018-05-15,4.282,2.69,4.374,1.766,15,5,2018,1,20,평일
2018-05-16,1.152,0.656,1.138,0.394,16,5,2018,2,20,평일
2018-05-17,0.508,0.342,0.504,0.168,17,5,2018,3,20,평일
2018-05-18,2.306,1.39,2.194,0.936,18,5,2018,4,20,평일
2018-05-19,5.662,2.786,5.072,2.142,19,5,2018,5,20,주말
2018-05-20,4.922,2.314,4.674,2.106,20,5,2018,6,20,주말
2018-05-21,5.644,2.842,5.138,2.086,21,5,2018,0,21,평일
2018-05-22,2.184,1.25,2.184,0.948,22,5,2018,1,21,주말
2018-05-23,4.458,2.526,4.346,1.808,23,5,2018,2,21,평일
2018-05-24,4.884,2.77,4.36,1.85,24,5,2018,3,21,평일
2018-05-25,4.924,2.632,4.308,1.964,25,5,2018,4,21,평일
2018-05-26,5.092,2.55,4.688,2.056,26,5,2018,5,21,주말
2018-05-27,5.196,2.418,4.612,2.1,27,5,2018,6,21,주말
2018-05-28,5.234,2.956,4.728,2.056,28,5,2018,0,22,평일
2018-05-29,3.556,2.464,3.568,1.602,29,5,2018,1,22,평일
2018-05-30,5.07,2.69,4.65,2.062,30,5,2018,2,22,평일
2018-05-31,5.182,2.994,4.968,2.062,31,5,2018,3,22,평일
2018-06-01,5.338,2.85,4.966,2.166,1,6,2018,4,22,평일
2018-06-02,5.59,2.618,4.624,2.058,2,6,2018,5,22,주말
2018-06-03,5.24,2.472,4.758,2.078,3,6,2018,6,22,주말
2018-06-04,5.598,3.168,4.664,2.126,4,6,2018,0,23,평일
2018-06-05,5.364,3.162,4.608,2.296,5,6,2018,1,23,평일
2018-06-06,5.274,2.518,4.844,2.122,6,6,2018,2,23,주말
2018-06-07,5.372,3.044,4.76,2.15,7,6,2018,3,23,평일
2018-06-08,5.678,3.176,5.09,2.346,8,6,2018,4,23,평일
2018-06-09,4.358,2.426,3.788,1.954,9,6,2018,5,23,주말
2018-06-10,4.836,2.514,4.476,2.098,10,6,2018,6,23,주말
2018-06-11,4.37,2.464,3.534,1.656,11,6,2018,0,24,평일
2018-06-12,5.744,3.194,5.25,2.27,12,6,2018,1,24,평일
2018-06-13,6.256,3.358,5.558,2.664,13,6,2018,2,24,평일
2018-06-14,4.038,2.08,3.312,1.486,14,6,2018,3,24,평일
2018-06-15,5.622,3.132,4.958,2.198,15,6,2018,4,24,평일
2018-06-16,6.152,2.954,4.976,2.454,16,6,2018,5,24,주말
2018-06-17,5.798,2.888,4.814,2.38,17,6,2018,6,24,주말
2018-06-18,4.672,2.686,4.056,1.934,18,6,2018,0,25,평일
2018-06-19,5.656,3.38,5.16,2.536,19,6,2018,1,25,평일
2018-06-20,5.674,3.394,4.978,2.424,20,6,2018,2,25,평일
2018-06-21,6.198,3.508,5.184,2.438,21,6,2018,3,25,평일
2018-06-22,6.108,3.228,4.972,2.568,22,6,2018,4,25,평일
2018-06-23,5.684,3.088,5.048,2.496,23,6,2018,5,25,주말
2018-06-24,5.258,2.58,4.494,2.01,24,6,2018,6,25,주말
2018-06-25,5.752,3.314,5.252,2.534,25,6,2018,0,26,평일
2018-06-26,0.74,0.502,0.704,0.492,26,6,2018,1,26,평일
2018-06-27,4.816,2.754,4.638,2.178,27,6,2018,2,26,평일
2018-06-28,3.366,2.138,2.938,1.492,28,6,2018,3,26,평일
2018-06-29,4.992,2.772,4.698,2.138,29,6,2018,4,26,평일
2018-06-30,3.318,2.01,2.814,1.53,30,6,2018,5,26,주말
2018-07-01,0.506,0.31,0.464,0.312,1,7,2018,6,26,주말
2018-07-02,0.468,0.318,0.602,0.246,2,7,2018,0,27,평일
2018-07-03,4.802,2.778,4.548,2.224,3,7,2018,1,27,평일
2018-07-04,5.44,3.104,4.94,2.364,4,7,2018,2,27,평일
2018-07-05,4.848,2.856,4.304,2.162,5,7,2018,3,27,평일
2018-07-06,6.028,3.444,5.46,2.5,6,7,2018,4,27,평일
2018-07-07,6.11,3.01,5.444,2.594,7,7,2018,5,27,주말
2018-07-08,6.502,2.99,5.15,2.372,8,7,2018,6,27,주말
2018-07-09,1.016,0.562,0.834,0.414,9,7,2018,0,28,평일
2018-07-10,3.242,1.826,2.812,1.334,10,7,2018,1,28,평일
2018-07-11,4.512,2.386,3.854,1.732,11,7,2018,2,28,평일
2018-07-12,5.434,3.014,4.992,2.444,12,7,2018,3,28,평일
2018-07-13,5.408,3.036,4.848,2.39,13,7,2018,4,28,평일
2018-07-14,4.964,2.622,3.928,2.196,14,7,2018,5,28,주말
2018-07-15,4.286,2.306,3.494,1.864,15,7,2018,6,28,주말
2018-07-16,5.27,2.962,4.328,2.082,16,7,2018,0,29,평일
2018-07-17,5.146,3.042,4.662,2.31,17,7,2018,1,29,평일
2018-07-18,5.158,3.08,4.556,2.236,18,7,2018,2,29,평일
2018-07-19,5.13,3.154,4.332,2.256,19,7,2018,3,29,평일
2018-07-20,4.844,2.934,4.244,2.22,20,7,2018,4,29,평일
2018-07-21,4.098,2.346,3.214,1.86,21,7,2018,5,29,주말
2018-07-22,3.706,1.852,2.78,1.616,22,7,2018,6,29,주말
2018-07-23,4.828,2.696,4.362,1.974,23,7,2018,0,30,평일
2018-07-24,4.614,2.66,4.11,2.016,24,7,2018,1,30,평일
2018-07-25,4.612,2.714,4.284,2.1,25,7,2018,2,30,평일
2018-07-26,4.626,2.618,4.066,2.068,26,7,2018,3,30,평일
2018-07-27,3.904,2.356,3.732,1.974,27,7,2018,4,30,평일
2018-07-28,3.252,1.808,2.416,1.57,28,7,2018,5,30,주말
2018-07-29,3.656,1.95,2.962,1.544,29,7,2018,6,30,주말
2018-07-30,4.62,2.568,4.042,1.892,30,7,2018,0,31,평일
2018-07-31,4.414,2.412,3.906,1.896,31,7,2018,1,31,평일
2018-08-01,3.874,2.236,3.426,1.62,1,8,2018,2,31,평일
2018-08-02,3.966,2.194,3.364,1.656,2,8,2018,3,31,평일
2018-08-03,3.832,2.262,3.606,1.71,3,8,2018,4,31,평일
2018-08-04,3.636,1.856,2.824,1.536,4,8,2018,5,31,주말
2018-08-05,3.522,1.744,2.828,1.48,5,8,2018,6,31,주말
2018-08-06,3.48,2.246,3.028,1.69,6,8,2018,0,32,평일
2018-08-07,4.564,2.606,4.046,1.85,7,8,2018,1,32,평일
2018-08-08,4.7,2.57,3.86,2.028,8,8,2018,2,32,평일
2018-08-09,3.714,2.124,3.248,1.782,9,8,2018,3,32,평일
2018-08-10,4.604,2.57,3.902,1.968,10,8,2018,4,32,평일
2018-08-11,4.242,2.28,3.216,1.734,11,8,2018,5,32,주말
2018-08-12,3.992,1.84,2.732,1.354,12,8,2018,6,32,주말
2018-08-13,4.642,2.538,3.97,1.782,13,8,2018,0,33,평일
2018-08-14,4.67,2.766,4.028,1.95,14,8,2018,1,33,평일
2018-08-15,3.304,1.864,2.836,1.45,15,8,2018,2,33,주말
2018-08-16,5.412,2.99,4.552,2.192,16,8,2018,3,33,평일
2018-08-17,6.114,3.232,5.272,2.288,17,8,2018,4,33,평일
2018-08-18,6.202,2.842,5.138,2.382,18,8,2018,5,33,주말
2018-08-19,5.626,2.84,4.698,2.316,19,8,2018,6,33,주말
2018-08-20,5.216,3.124,4.93,2.242,20,8,2018,0,34,평일
2018-08-21,5.028,3.11,4.512,2.102,21,8,2018,1,34,평일
2018-08-22,5.446,3.134,4.72,2.124,22,8,2018,2,34,평일
2018-08-23,2.892,1.656,2.43,1.334,23,8,2018,3,34,평일
2018-08-24,1.85,1.122,1.658,0.722,24,8,2018,4,34,평일
2018-08-25,5.794,3.19,5.258,2.396,25,8,2018,5,34,주말
2018-08-26,3.844,2.09,3.322,1.728,26,8,2018,6,34,주말
2018-08-27,2.888,1.688,2.458,1.164,27,8,2018,0,35,평일
2018-08-28,1.798,1.05,1.364,0.816,28,8,2018,1,35,평일
2018-08-29,1.752,0.88,1.318,0.52,29,8,2018,2,35,평일
2018-08-30,4.33,1.918,3.356,1.37,30,8,2018,3,35,평일
2018-08-31,5.86,3.156,5.14,2.174,31,8,2018,4,35,평일
2018-09-01,5.654,2.99,4.616,2.274,1,9,2018,5,35,주말
2018-09-02,6.662,3.178,5.676,2.522,2,9,2018,6,35,주말
2018-09-03,2.404,1.374,1.74,0.894,3,9,2018,0,36,평일
2018-09-04,6.474,3.502,5.43,2.49,4,9,2018,1,36,평일
2018-09-05,7.338,3.898,5.862,2.748,5,9,2018,2,36,평일
2018-09-06,5.384,3.44,4.426,2.046,6,9,2018,3,36,평일
2018-09-07,6.992,3.81,6.048,2.754,7,9,2018,4,36,평일
2018-09-08,7.328,3.566,6.212,2.854,8,9,2018,5,36,주말
2018-09-09,6.908,3.468,5.716,2.684,9,9,2018,6,36,주말
2018-09-10,7.156,3.962,5.764,2.906,10,9,2018,0,37,평일
2018-09-11,7.036,3.99,5.52,2.918,11,9,2018,1,37,평일
2018-09-12,7.606,3.962,6.028,2.994,12,9,2018,2,37,평일
2018-09-13,6.988,4.006,5.792,2.952,13,9,2018,3,37,평일
2018-09-14,5.812,3.646,5.25,2.704,14,9,2018,4,37,평일
2018-09-15,5.852,3.066,4.85,2.4,15,9,2018,5,37,주말
2018-09-16,3.168,1.716,2.57,1.53,16,9,2018,6,37,주말
2018-09-17,6.8,3.962,5.712,3.006,17,9,2018,0,38,평일
2018-09-18,7.248,4.21,5.912,2.886,18,9,2018,1,38,평일
2018-09-19,5.88,3.488,4.818,2.462,19,9,2018,2,38,평일
2018-09-20,2.96,2.02,2.446,1.25,20,9,2018,3,38,평일
2018-09-21,3.892,2.35,2.966,1.728,21,9,2018,4,38,평일
2018-09-22,6.262,2.964,5.302,2.668,22,9,2018,5,38,주말
2018-09-23,4.47,2.286,4.13,2.062,23,9,2018,6,38,주말
2018-09-24,4.374,1.9,3.996,2.008,24,9,2018,0,39,주말
2018-09-25,6.29,2.586,5.224,2.34,25,9,2018,1,39,주말
2018-09-26,7.42,3.214,6.522,2.726,26,9,2018,2,39,평일
2018-09-27,7.838,4.18,6.246,2.866,27,9,2018,3,39,평일
2018-09-28,7.628,4.194,6.178,3.088,28,9,2018,4,39,평일
2018-09-29,8.014,3.752,6.982,3.08,29,9,2018,5,39,주말
2018-09-30,7.148,3.676,5.948,2.694,30,9,2018,6,39,주말
2018-10-01,6.446,3.948,5.258,2.744,1,10,2018,0,40,평일
2018-10-02,7.14,3.944,5.972,3.058,2,10,2018,1,40,평일
2018-10-03,8.724,3.982,6.936,3.128,3,10,2018,2,40,주말
2018-10-04,7.52,3.996,6.198,2.992,4,10,2018,3,40,평일
2018-10-05,1.076,0.552,0.664,0.462,5,10,2018,4,40,평일
2018-10-06,3.698,2.004,3.458,1.502,6,10,2018,5,40,주말
2018-10-07,7.168,3.748,6.23,2.732,7,10,2018,6,40,주말
2018-10-08,7.306,3.908,6.006,2.744,8,10,2018,0,41,평일
2018-10-09,7.552,3.882,6.854,2.708,9,10,2018,1,41,주말
2018-10-10,5.486,3.28,4.552,2.224,10,10,2018,2,41,평일
2018-10-11,5.416,3.432,4.518,2.178,11,10,2018,3,41,평일
2018-10-12,5.634,3.306,4.674,2.326,12,10,2018,4,41,평일
2018-10-13,5.99,3.274,5.22,2.372,13,10,2018,5,41,주말
2018-10-14,5.804,3.042,4.948,2.436,14,10,2018,6,41,주말
2018-10-15,6.32,3.606,5.118,2.512,15,10,2018,0,42,평일
2018-10-16,6.152,3.616,5.204,2.394,16,10,2018,1,42,평일
2018-10-17,5.858,3.624,4.884,2.546,17,10,2018,2,42,평일
2018-10-18,5.816,3.642,4.82,2.498,18,10,2018,3,42,평일
2018-10-19,6.032,3.7,5.132,2.67,19,10,2018,4,42,평일
2018-10-20,5.998,3.452,4.826,2.598,20,10,2018,5,42,주말
2018-10-21,5.83,2.99,4.978,2.366,21,10,2018,6,42,주말
2018-10-22,6.424,3.63,4.908,2.398,22,10,2018,0,43,평일
2018-10-23,4.714,2.846,3.742,2.022,23,10,2018,1,43,평일
2018-10-24,6.232,3.5,5.002,2.608,24,10,2018,2,43,평일
2018-10-25,6.446,3.728,5.05,2.552,25,10,2018,3,43,평일
2018-10-26,2.996,1.976,2.462,1.342,26,10,2018,4,43,평일
2018-10-27,3.826,2.436,3.406,1.824,27,10,2018,5,43,주말
2018-10-28,2.49,1.408,1.97,1.018,28,10,2018,6,43,주말
2018-10-29,4.36,2.718,3.686,1.794,29,10,2018,0,44,평일
2018-10-30,4.454,2.882,3.794,1.812,30,10,2018,1,44,평일
2018-10-31,4.752,2.97,3.922,1.878,31,10,2018,2,44,평일
2018-11-01,5.112,3.046,4.38,2.096,1,11,2018,3,44,평일
2018-11-02,5.5,3.302,4.648,2.132,2,11,2018,4,44,평일
2018-11-03,5.074,2.89,4.058,1.954,3,11,2018,5,44,주말
2018-11-04,4.796,2.82,4.248,1.952,4,11,2018,6,44,주말
2018-11-05,5.122,3.282,4.478,2.27,5,11,2018,0,45,평일
2018-11-06,4.956,3.048,4.152,2.188,6,11,2018,1,45,평일
2018-11-07,3.778,2.364,3.048,1.546,7,11,2018,2,45,평일
2018-11-08,0.344,0.24,0.286,0.162,8,11,2018,3,45,평일
2018-11-09,4.012,2.554,3.562,1.698,9,11,2018,4,45,평일
2018-11-10,3.862,2.4,3.2,1.81,10,11,2018,5,45,주말
2018-11-11,2.94,1.902,2.174,1.368,11,11,2018,6,45,주말
2018-11-12,4.836,2.97,3.946,1.938,12,11,2018,0,46,평일
2018-11-13,4.916,3.13,4.248,2.172,13,11,2018,1,46,평일
2018-11-14,5.12,3.278,4.37,2.138,14,11,2018,2,46,평일
2018-11-15,4.902,2.902,4.22,2.08,15,11,2018,3,46,평일
2018-11-16,4.656,2.974,3.69,1.96,16,11,2018,4,46,평일
2018-11-17,3.574,2.056,2.682,1.554,17,11,2018,5,46,주말
2018-11-18,3.294,1.956,2.51,1.416,18,11,2018,6,46,주말
2018-11-19,4.462,2.77,3.6,1.676,19,11,2018,0,47,평일
2018-11-20,4.452,2.688,3.702,1.642,20,11,2018,1,47,평일
2018-11-21,3.572,2.14,2.84,1.51,21,11,2018,2,47,평일
2018-11-22,3.77,2.26,3.058,1.514,22,11,2018,3,47,평일
2018-11-23,3.752,2.17,3.04,1.462,23,11,2018,4,47,평일
2018-11-24,1.44,0.702,1.012,0.57,24,11,2018,5,47,주말
2018-11-25,2.636,1.4,1.922,0.936,25,11,2018,6,47,주말
2018-11-26,4.074,2.472,2.99,1.398,26,11,2018,0,48,평일
2018-11-27,3.648,2.218,2.886,1.464,27,11,2018,1,48,평일
2018-11-28,3.918,2.304,2.916,1.486,28,11,2018,2,48,평일
2018-11-29,3.72,2.21,2.878,1.444,29,11,2018,3,48,평일
2018-11-30,3.522,2.206,2.878,1.47,30,11,2018,4,48,평일
2018-12-01,2.986,1.746,2.424,1.366,1,12,2018,5,48,주말
2018-12-02,2.892,1.612,2.164,1.138,2,12,2018,6,48,주말
2018-12-03,1.4,0.682,1.112,0.438,3,12,2018,0,49,평일
2018-12-04,2.548,1.52,2.134,1.08,4,12,2018,1,49,평일
2018-12-05,3.132,1.878,2.342,1.174,5,12,2018,2,49,평일
2018-12-06,2.986,1.81,2.408,1.192,6,12,2018,3,49,평일
2018-12-07,1.988,1.188,1.522,0.828,7,12,2018,4,49,평일
2018-12-08,1.306,0.83,0.862,0.538,8,12,2018,5,49,주말
2018-12-09,1.252,0.698,0.818,0.51,9,12,2018,6,49,주말
2018-12-10,2.194,1.364,1.75,0.862,10,12,2018,0,50,평일
2018-12-11,2.564,1.522,2.186,1.024,11,12,2018,1,50,평일
2018-12-12,2.372,1.482,2.018,0.892,12,12,2018,2,50,평일
2018-12-13,1.508,0.964,1.28,0.666,13,12,2018,3,50,평일
2018-12-14,1.826,1.176,1.648,0.792,14,12,2018,4,50,평일
2018-12-15,1.562,1.108,1.136,0.672,15,12,2018,5,50,주말
2018-12-16,1.286,0.942,1.082,0.604,16,12,2018,6,50,주말
2018-12-17,2.158,1.324,1.978,0.872,17,12,2018,0,51,평일
2018-12-18,2.522,1.62,2.156,0.91,18,12,2018,1,51,평일
2018-12-19,2.65,1.634,2.342,1.0,19,12,2018,2,51,평일
2018-12-20,2.64,1.744,2.458,1.058,20,12,2018,3,51,평일
2018-12-21,2.648,1.674,2.472,1.094,21,12,2018,4,51,평일
2018-12-22,1.958,1.312,1.516,0.952,22,12,2018,5,51,주말
2018-12-23,1.6,1.09,1.198,0.74,23,12,2018,6,51,주말
2018-12-24,1.872,1.068,1.752,0.86,24,12,2018,0,52,평일
2018-12-25,1.502,0.93,1.162,0.708,25,12,2018,1,52,주말
2018-12-26,2.162,1.274,1.766,0.894,26,12,2018,2,52,평일
2018-12-27,1.406,0.768,1.12,0.64,27,12,2018,3,52,평일
2018-12-28,1.158,0.712,1.124,0.526,28,12,2018,4,52,평일
2018-12-29,0.956,0.59,0.726,0.462,29,12,2018,5,52,주말
2018-12-30,0.998,0.56,0.746,0.46,30,12,2018,6,52,주말
2018-12-31,1.394,0.828,1.206,0.604,31,12,2018,0,1,평일
2019-01-01,1.108,0.618,0.744,0.47,1,1,2019,1,1,주말
2019-01-02,1.678,1.066,1.514,0.696,2,1,2019,2,1,평일
2019-01-03,1.906,1.232,1.78,0.762,3,1,2019,3,1,평일
2019-01-04,2.194,1.202,1.862,0.848,4,1,2019,4,1,평일
2019-01-05,1.598,0.912,1.094,0.748,5,1,2019,5,1,주말
2019-01-06,1.398,0.87,1.018,0.604,6,1,2019,6,1,주말
2019-01-07,2.018,1.164,1.716,0.806,7,1,2019,0,2,평일
2019-01-08,1.944,1.07,1.68,0.816,8,1,2019,1,2,평일
2019-01-09,1.944,1.062,1.666,0.792,9,1,2019,2,2,평일
2019-01-10,2.138,1.22,1.87,0.892,10,1,2019,3,2,평일
2019-01-11,2.396,1.356,2.064,1.018,11,1,2019,4,2,평일
